title,salary,city
Business Analyst (d/m/w) – Banking | Data Analytics Personalisierung,75000,Berlin
Business Analyst (d/m/w) – Data Analytics | Firmenkunden,70000,Berlin
Data Scientist Konditionsgestaltung (m/w/d),82000,Berlin
Senior Data Scientist - Product Analytics,67000,"Berlin, Germany"
Data Scientist (m/w/d) für Technologietrends und Datenstrategie,72000,Berlin
Senior Marketing Data Analyst,54000,Berlin
Data Migration Consultant (f/m/d) SAP S/4HANA Utilities,66000,"Berlin, DE, 10557"
Physiker/ Mathematiker/ Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),71300,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Senior Data Analyst (m/f/d),85000,Berlin
Senior Data Scientist / Senior AI Engineer (mwd),83000,Berlin
Leitung Business Intelligence (m/w/d),126000,Berlin
Working Student Data Analyst (f/x/m),keine Angabe,Berlin
Climate Data Analyst (f/m/d) at Climate Analytics,55000,"Berlin, Germany"
Senior Data Strategist (m/w/d),75000,Berlin
Praktikant:in Data Analyst (m/w/d),keine Angabe,Berlin
IT Architect (m/f/d) - With focus on Data Management and Data Quality,81000,Berlin
Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,keine Angabe,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Mitarbeiter Datenanalyse im HomeOffice (m/w/d),51000,Berlin
Business Analyst (w/m/d) – Netzleitsystem der Zukunft,70000,Berlin
Statistiken der EKD,58000,"10999 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland"
Werkstudent:in als Marketing Data Analyst (m/w/d),keine Angabe,"Potsdam, DE"
Statistiken der EKD,60000,"12055 Berlin-Bezirk Neukölln, Deutschland"
Senior Marketing Data Scientist (m/w/d),63000,Berlin
Principal Data Scientist,63000,Berlin
Sr. Data Engineering Consultant (m/f/d),59000,Berlin
Senior Data Scientist / Senior Analytics Engineer,73000,"Berlin, Germany"
"Senior Product Analyst (all genders) | Berlin, hybrid or remote",72000,"Berlin, Home-Office"
Data Allrounder Fokus GH App (m/w/d),40000,Blankenfelde-Mahlow
Staff ML/AI Data Engineer,62000,"Berlin, Germany"
Cloud and DevOps Engineer (Kubernetes),67000,Berlin
Analytics Engineer (m/f/d),65000,Berlin
Senior Product Analyst (B2B) (m/f/d),64000,Berlin
Strategic Planning Associate,49000,Berlin
"Data Analysis, Manager",63000,Berlin
Senior Product Analyst (B2B) - 12 months contract (m/f/d),keine Angabe,Berlin
Senior Tech Marketing Manager (all genders),keine Angabe,Berlin
Business Analyst Baufinanzierung / Mortgage Focus (m/w/d),keine Angabe,Berlin
Senior Data Engineer,70000,"Berlin, Germany"
Teamlead Business Intelligence (m/w/d),66000,"Berlin, Deutschland"
(Senior) Sales Development Representative (w/m/d) - Packa,58000,Berlin
Business Analyst - ServiceNow Consulting (w/m/d),keine Angabe,"München, Hamburg, Köln, Frankfurt, Düsseldorf, Berlin, Mannheim"
SAP Datasphere and Analytics Cloud Specialist (f/m/d),keine Angabe,"Berlin, Düsseldorf, München, Frankfurt am Main, Hamburg, Hannover"
"(Junior) Consultant IT-Forensic, eDiscovery und Forensic Data Analytics (w/m/d)",keine Angabe,"Nürnberg, Berlin, Bielefeld, Bremen, Essen, Mannheim, Mainz, Dresden"
IT Security Analyst (m/f/d),50000,Berlin
Research Analyst (m/w/d) im Feedbackmanagement,64000,Teltow bei Berlin
Referent (m/w/d) Datenanalyse,60000,Berlin
(Mid/Senior) Data Software Engineer (f/m/d),82000,Berlin
Data Engineer / Data Architect (m/f/x),72000,Berlin
Business Analyst – Mortgage Focus (m/f/d),72000,Berlin
Business Analyst für Provision & Vermittler (all genders),72000,"Dortmund, Düsseldorf, Essen, Hamburg, München, Nürnberg, Stuttgart, Berlin"
Software Test Analyst *,53000,Berlin
Key Account Manager - Data Product (w/m/d),83000,"Berlin, Düsseldorf, Hamburg, Karlsruhe, München"
Spezialist*in Datenmanagement (m/w/d) Recycling & Duale Systeme,48000,Berlin
Data Engineer* / Machine Learning Engineer*,70000,"Karlsruhe, Köln, München, Hamburg, Stuttgart, Pforzheim, Berlin, Erlangen"
Data Architect (m/w/d) (Digitization System Operation / Power Grid),95000,"Neuenhagen bei Berlin, Berlin"
Business Analyst - NetSuite / SuiteScript / ERP (m/w/d),61000,Berlin
IT Analyst / IT Consultant (w/m/d) Citizen Development,70000,Berlin
(Senior) Manager Business Intelligence & Data Management (w/m/d),keine Angabe,"Frankfurt, München, Hamburg, Köln, Stuttgart, Düsseldorf, Hannover, Berlin"
